#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Speed (ns/day)"
259974,-1449565.8566261884,277205.74805114075,-1172360.1085750477,298.93604965046256,1089.524616873345,60.5
263307,-1450719.0640735487,276131.18918623374,-1174587.8748873149,297.77725556177387,1090.4661386459743,60.5
266640,-1449319.2734242799,278214.5686264342,-1171104.7047978458,300.02395219110065,1089.5370553334153,60.5
269973,-1451894.007882041,275860.4523753251,-1176033.5555067158,297.4852955525858,1089.8758569545084,60.5
273306,-1450194.5037134746,275994.3740736304,-1174200.1296398442,297.629715441911,1090.1757470160398,60.6
276639,-1452037.597836445,276077.06575787667,-1175960.5320785684,297.71888936994577,1087.8466936189357,60.5
279972,-1452258.2179071065,276583.4518672784,-1175674.766039828,298.26497134770653,1086.7865845561917,60.6
283305,-1450256.6798030408,276248.92398110544,-1174007.7558219354,297.9042196479546,1090.224230248046,60.5
286638,-1449565.137801231,275765.62656286673,-1173799.511238364,297.38303629576853,1090.305367257233,60.5
289971,-1448547.7718138192,276014.9900917648,-1172532.7817220544,297.65194756034276,1092.3100673608913,60.5
293304,-1452543.8105935268,277179.55965114763,-1175364.2509423792,298.90780832828347,1087.6659798104101,60.5
296637,-1449271.7894883463,275244.4401368192,-1174027.3493515272,296.82099379690465,1089.7589474530662,60.5
299970,-1449122.7188873421,275959.1047591767,-1173163.6141281654,297.59168134770204,1090.218379842606,60.5
303303,-1447762.3310768101,275969.83377214265,-1171792.4973046675,297.60325141352945,1091.3253547395507,60.5
306636,-1451849.5146424398,276695.89767661114,-1175153.6169658287,298.38623184204334,1087.0399959913188,60.5
309969,-1450106.0720387334,277745.5121126115,-1172360.559926122,299.51812609517464,1090.4649458284323,60.5
313302,-1451861.4873411497,276523.98610856314,-1175337.5012325866,298.2008440374874,1088.9074430184762,60.5
316635,-1451670.3787013246,276096.02312707435,-1175574.3555742502,297.7393328170949,1089.8203881827917,60.5
319968,-1451632.8643140532,275750.7309247429,-1175882.1333893104,297.3669729808875,1085.279448696132,60.5
323301,-1449292.1901053432,275881.7774156862,-1173410.412689657,297.50829227386237,1088.8025119765218,60.5
326634,-1452121.7752609756,277843.045174426,-1174278.7300865497,299.6233048240218,1090.2099415623222,60.5
329967,-1449052.7288726624,276029.61765828234,-1173023.11121438,297.66772178934593,1091.3406845714162,60.5
333300,-1450205.8410214167,276701.6890264187,-1173504.151994998,298.3924771787501,1088.1085844232514,60.5
336633,-1449033.0583787207,276796.49001881323,-1172236.5683599075,298.4947096698459,1090.8415058226105,60.5
339966,-1448268.014517272,275477.85893551575,-1172790.155581756,297.07271041565104,1090.6982404035493,60.5
343299,-1452327.1051887637,276396.81724266533,-1175930.2879460985,298.06370633858586,1089.1138738030536,60.5
346632,-1452870.4932055352,275704.0253074682,-1177166.467898067,297.3166060861794,1088.533380184218,60.5
349965,-1451597.2097112015,277142.6583883195,-1174454.551322882,298.86801435642496,1090.1449153171232,60.5
353298,-1450790.283041061,278016.267965475,-1172774.0150755858,299.8101066390262,1089.0873063608492,60.5
356631,-1451008.1592091322,277088.6984458719,-1173919.4607632603,298.80982446625114,1089.5541306514563,60.5
359964,-1454019.3181889337,275219.89255965606,-1178799.4256292777,296.7945219225037,1086.9948257407357,60.5
363297,-1452751.6801036028,276137.16312285105,-1176614.5169807519,297.7836977983645,1088.8040052134206,60.5
