#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Speed (ns/day)"
429957,-922916.6278015459,181315.51023144327,-741601.1175701027,298.805086512461,701.2922660782527,91.6
433290,-920498.5738686314,180520.2084978914,-739978.36537074,297.4944418632849,703.0437957634132,91.6
436623,-921141.0347575117,179804.38175525493,-741336.6530022568,296.31477073924043,701.2356334502537,91.6
439956,-920129.1174482424,180795.50349011173,-739333.6139581306,297.9481236462821,701.6069869537149,91.6
443289,-919171.1687416118,180797.0122929403,-738374.1564486715,297.9506101294249,702.5762633207916,91.6
446622,-922601.8426765725,181298.05182222565,-741303.7908543468,298.77631533083417,701.540794965208,91.6
449955,-923869.5221055299,180974.68540628388,-742894.836699246,298.24341260360814,700.1259502056105,91.6
453288,-920468.8094704105,180596.1863302911,-739872.6231401194,297.6196521266222,702.4518657766588,91.6
456621,-922030.5293456092,182089.57909198795,-739940.9502536213,300.08073972352065,700.4024756484968,91.6
459954,-922282.235256114,179166.33465512856,-743115.9006009855,295.2632792330316,701.4165061324221,91.6
463287,-920389.0635566171,180701.19295445748,-739687.8706021596,297.792701378605,703.7452816172101,91.6
466620,-922974.568982413,182484.29778436245,-740490.2711980506,300.7312298711782,702.0667568934914,91.6
469953,-920280.4834436458,181032.18029925972,-739248.303144386,298.33816327578035,702.9165975623777,91.6
473286,-921524.8668391854,182840.68294555641,-738684.1838936289,301.31854696714197,702.8629959562434,91.6
476619,-920980.4484897256,181584.28792697837,-739396.1605627472,299.24802789383796,700.6219986292253,91.6
479952,-922603.3149694772,179261.46048840758,-743341.8544810696,295.4200450982696,702.3812882993344,91.6
483285,-922587.903110655,180106.92891440348,-742480.9741962515,296.8133636613136,700.6977637356656,91.6
486618,-919626.0885850815,180130.00084489558,-739496.0877401859,296.8513858370111,702.2384151284817,91.6
489951,-919906.8581651878,181729.51922489615,-738177.3389402917,299.4873667704914,702.2356827629392,91.6
493284,-921511.4250246054,180782.9082780201,-740728.5167465853,297.9273669364238,700.4863774574012,91.6
496617,-921524.0180032253,180313.4190307114,-741210.5989725139,297.1536560995535,701.2031787356837,91.6
499950,-920628.3998346189,180482.99607606657,-740145.4037585524,297.43311638203676,702.6487532281994,91.6
503283,-923058.0002321405,180759.45047269634,-742298.5497594442,297.88870884512085,700.2330333481561,91.6
506616,-920098.7331628371,180700.0129013406,-739398.7202614965,297.7907566697754,701.7998677971884,91.6
509949,-920776.1651416849,181155.83003375557,-739620.3351079293,298.54193607804154,701.0783754003526,91.6
513282,-923842.3961045975,180793.50952653645,-743048.886578061,297.94483762591983,697.7931520240462,91.6
516615,-921312.9591020942,179634.21187900833,-741678.7472230858,296.03433348084604,701.3853432057889,91.6
519948,-920784.2833233634,181914.355561394,-738869.9277619694,299.7919741228762,699.3277212374135,91.6
523281,-920850.0867765974,180726.94782620133,-740123.1389503961,297.83514499895335,701.0197359825415,91.6
526614,-921368.3249261053,180979.88525467616,-740388.4396714291,298.25198187132673,700.7433636604401,91.6
529947,-921178.1046358226,180034.22378165275,-741143.8808541698,296.6935467551165,701.64359804087,91.6
533280,-921653.9397802316,180315.96457982715,-741337.9752004044,297.1578511241422,701.3880330076069,91.6
536613,-921293.8706528833,180958.19416578475,-740335.6764870986,298.21623530069706,702.4084169879187,91.6
539946,-920640.2192646107,181177.43711795047,-739462.7821466601,298.57754421026306,700.5149490409481,91.7
543279,-920204.4722856525,180626.37611877202,-739578.0961668806,297.66940441944774,702.2197578987036,91.7
546612,-921436.1625584764,180829.96431790214,-740606.1982405743,298.0049145441819,701.3570212381369,91.7
549945,-921534.9095560759,179836.6295744977,-741698.2799815782,296.36791463413596,701.183483987139,91.7
553278,-921625.9259365173,181592.66324006906,-740033.2626964482,299.26183027703973,701.8775394447057,91.7
556611,-921307.872049652,181313.2348907208,-739994.6371589312,298.80133678702083,702.6177085562141,91.7
559944,-921729.3399888976,180618.12910774903,-741111.2108811485,297.6558134760196,703.4964060259889,91.7
563277,-922686.6843054844,180623.7801204436,-742062.9041850409,297.6651262553562,701.6324992540841,91.7
566610,-920996.3388806488,179974.9764174372,-741021.3624632116,296.59590803812273,700.9846789731662,91.7
569943,-921258.1247610338,180800.92886091076,-740457.1959001231,297.95706457135185,701.7104568626137,91.7
573276,-920033.9152271403,180356.0820331059,-739677.8331940344,297.22396405117377,702.5069196316517,91.7
576609,-921450.8180045551,180907.19517435395,-740543.6228302012,298.13218977129327,702.0320249114703,91.7
579942,-921485.3378780456,180277.0299576692,-741208.3079203764,297.0936874840467,700.0821520545203,91.7
583275,-922591.1641353499,180508.24551119487,-742082.918624155,297.4747270508552,701.7398064269383,91.7
586608,-921747.3238798669,181259.47273202066,-740487.8511478462,298.71273760176086,702.834053496842,91.7
589941,-922370.3714264063,181072.30522456125,-741298.0662018451,298.404288516587,703.0371439746455,91.7
593274,-922004.2288642302,179718.49249395978,-742285.7363702704,296.1732265982068,701.974728398917,91.7
596607,-921660.7132140743,180282.01874837826,-741378.694465696,297.1019089320492,699.6143296827905,91.7
599940,-921021.5893580131,181214.9826384724,-739806.6067195407,298.6394186328836,701.2976164132305,91.7
603273,-920708.1231587799,183385.49811388637,-737322.6250448936,302.2163937277325,702.1638240492534,91.7
606606,-922420.7806087872,179847.45394832,-742573.3266604672,296.3857530305991,701.2014248344703,91.7
609939,-920842.3727507256,181396.08252757264,-739446.290223153,298.93786837919,700.3548074414217,91.7
613272,-921698.7491185907,178525.9535656491,-743172.7955529416,294.207941349369,703.6492145144852,91.7
616605,-919182.4108701376,180353.99688946758,-738828.41398067,297.2205277675131,702.7170739377348,91.7
619938,-921795.3464524318,180359.82492512965,-741435.5215273021,297.2301322778938,699.6651326532092,91.7
623271,-921859.5465800334,180675.89468099858,-741183.6518990349,297.75101022499183,702.3838555738881,91.7
626604,-921971.9930026382,180725.4848449116,-741246.5081577266,297.8327340289802,701.589497945696,91.7
629937,-919952.2869378142,180943.11743039533,-739009.1695074189,298.191389079783,703.3288144524971,91.7
633270,-922176.6008126438,181037.0670479753,-741139.5337646685,298.3462165601952,703.0749957342748,91.7
