#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Speed (ns/day)"
476619,-914838.2980529023,178818.26618923026,-736020.0318636721,296.2647344353943,698.7685856029358,97.6
479952,-915669.1866299501,179242.3155205389,-736426.8711094111,296.96729612109317,698.0171096854228,97.6
483285,-916146.7175432304,179570.13747826708,-736576.5800649633,297.51042903093617,696.0679600445899,97.6
486618,-915950.5808746582,181639.19453759678,-734311.3863370614,300.93842692666186,698.659315024238,97.6
489951,-915256.8502977109,178682.75256900105,-736574.0977287098,296.0402165068562,698.4124550719844,97.6
493284,-914756.4464455694,180570.00405947375,-734186.4423860956,299.1670003279565,697.9809173671467,97.6
496617,-914804.5335542997,180017.23761222212,-734787.2959420776,298.2511811099885,697.4816164248172,97.6
499950,-917582.0960522275,178897.44634621555,-738684.649706012,296.39591951330453,696.2926582132621,97.6
503283,-916903.8076135721,180655.7963081823,-736248.0113053898,299.3091402688133,695.2598724937155,97.6
506616,-915697.8556092205,180333.6683869788,-735364.1872222417,298.7754411950923,699.3893343307175,97.6
509949,-916838.9858760545,179676.19741551875,-737162.7884605357,297.686148323007,697.4534759046302,97.6
513282,-915721.4277622169,181317.96574978065,-734403.4620124362,300.4062175302535,696.9403774571934,97.6
516615,-915310.8829876939,180023.42911158386,-735287.45387611,298.26143913873057,697.3982490585821,97.6
519948,-914283.5473271245,180750.3874920401,-733533.1598350843,299.465858218063,698.5244593885669,97.6
523281,-917389.5171142649,180819.95175867795,-736569.5653555869,299.58111176246234,697.5534573130462,97.6
526614,-916090.6303955046,180208.66904515866,-735881.961350346,298.56834324252776,699.5607291958145,97.6
529947,-913812.6770024588,178708.18297032942,-735104.4940321294,296.0823494010884,699.3094309752713,97.6
533280,-916994.4290926792,179285.49600628903,-737708.9330863901,297.03883721930526,696.177201488378,97.6
536613,-915937.3846651856,179480.13132176752,-736457.253343418,297.3613075199118,697.7110417427841,97.6
539946,-916773.1970011564,179805.7222299712,-736967.4747711852,297.9007440439829,697.5979950050706,97.5
543279,-915854.8568383856,178908.39245907345,-736946.4643793121,296.4140549492868,698.5859172982209,97.6
546612,-915233.902735264,178605.57086828977,-736628.3318669742,295.91234245600106,698.8237792088868,97.5
549945,-912892.4559487123,180019.59820176513,-732872.8577469472,298.25509211667134,699.0607808512518,97.5
553278,-915234.8834806373,180158.52787672798,-735076.3556039094,298.4852697385397,696.1142409173312,97.5
556611,-915853.5299310079,180386.8565603036,-735466.6733707043,298.8635629534618,699.0504438924959,97.5
559944,-914787.9017942157,180070.70346581173,-734717.198328404,298.33976292689493,696.7357272690078,97.5
563277,-915306.4653619556,180127.00045164337,-735179.4649103122,298.4330353420255,698.3964079965599,97.5
566610,-915888.7717717206,179805.64480517746,-736083.1269665431,297.9006157671774,697.0662221302662,97.5
569943,-916036.8438260155,180823.78078568273,-735213.0630403328,299.5874556650898,696.9520345259389,97.5
573276,-915536.7669795342,179565.98058840085,-735970.7863911333,297.5035419276299,696.6850446079828,97.5
576609,-915310.2339405585,180472.14538543235,-734838.0885551262,299.0048688259857,697.5580725433965,97.6
579942,-914799.3476399472,181013.20873029518,-733786.138909652,299.90129843351184,697.5074768750383,97.5
583275,-915551.889429492,179673.34971124597,-735878.539718246,297.6814302683691,697.6407931498297,97.5
586608,-916480.5740753785,180467.63817531726,-736012.9359000612,298.997401314773,696.5383759114469,97.5
589941,-916436.9664692227,181494.08944202893,-734942.8770271938,300.6980179152125,697.0391742562886,97.5
593274,-916277.3903195672,179512.94986045506,-736764.4404591122,297.415681023559,698.9302510763781,97.5
596607,-915806.1391169401,179316.4164453046,-736489.7226716354,297.0900659659473,696.9804661798604,97.5
599940,-917136.4346861271,180918.82957311335,-736217.6051130138,299.74493176843566,696.8699840978908,97.5
603273,-917172.6071824376,180264.37027647602,-736908.2369059615,298.66062861613995,694.2869231325641,97.5
606606,-916275.8155091833,179640.66940542439,-736635.146103759,297.627285787876,696.1236584037754,97.5
609939,-917962.6861475464,179811.78073906802,-738150.9054084783,297.91078173547214,696.072309325637,97.5
613272,-916335.3003633898,179705.47165728197,-736629.8287061078,297.7346496626442,696.4029738887741,97.5
616605,-915717.9510360546,179042.553363654,-736675.3976724006,296.6363317088943,694.446302467398,97.5
619938,-917241.786426642,178947.04177620012,-738294.7446504419,296.478088842013,697.0294561055535,97.5
623271,-916819.5381321656,179135.6481671944,-737683.8899649712,296.79057046669,699.1541033920058,97.5
626604,-917274.388160523,178655.13504973135,-738619.2531107917,295.99446001236277,697.7453532043188,97.5
629937,-914616.4439178687,179960.960284749,-734655.4836331196,298.1579412646759,697.8768153960627,97.5
633270,-918062.3979470618,180487.6907160779,-737574.7072309839,299.0306242107881,695.8006432957495,97.5
636603,-916054.2455363274,180605.30654697886,-735448.9389893485,299.2254892189881,695.5795689711439,97.5
639936,-916964.3306458313,179050.03663870064,-737914.2940071307,296.6487299417015,697.3707637372991,97.5
643269,-915877.0588762751,180343.64244420652,-735533.4164320686,298.7919661367484,696.5058064130432,97.5
646602,-916665.2226561764,178995.98784049394,-737669.2348156825,296.55918230661644,696.6911956826365,97.5
649935,-917398.408614493,179573.9160786413,-737824.4925358517,297.51668938710816,696.1800392400903,97.5
653268,-915749.7285729665,180578.96378095116,-735170.7647920153,299.1818447259069,697.0374928425961,97.5
